,state_code,center,center_lat,center_lon,dist,vil
97,553426896,"(25.026226780255758, 121.49568541765642)",25.02622678025576,121.49568541765642,東園街66巷21弄,29
180,553826962,"(25.0443142149149, 121.57859762689301)",25.0443142149149,121.578597626893,松山路249巷,25
352,553326894,"(25.02170492159097, 121.54665808195955)",25.021704921590967,121.54665808195958,臥龍街56巷16弄,1
355,549325790,"(24.840830574999547, 120.95644075170257)",24.84083057499955,120.95644075170256,台灣,臺灣省
356,549325791,"(24.840830574999547, 120.96113071276389)",24.84083057499955,120.96113071276388,台灣,臺灣省
360,548825593,"(24.81822128167562, 120.88463114885658)",24.81822128167562,120.88463114885658,西濱路三段20巷,100
422,555027040,"(25.098576518892326, 121.52483329578092)",25.098576518892326,121.52483329578092,後街21巷,19
461,547124897,"(24.741349684374267, 120.97689197237067)",24.74134968437427,120.97689197237068,台灣,臺灣省
557,554026964,"(25.05335793224447, 121.49517093154043)",25.053357932244467,121.49517093154043,環河南路,204
562,531512346,"(24.035939732667718, 121.49344702079367)",24.035939732667718,121.49344702079368,台灣,臺灣省
682,557426531,"(25.20710112684718, 119.49793811087294)",25.20710112684718,119.49793811087294,中國,福建省
843,545424180,"(24.66447808707291, 121.7096830806816)",24.66447808707291,121.70968308068159,台灣,臺灣省
