state_code,house_unitPrice,lease_unitPrice,cloth_done,convStore_done,edu_all_statecode,hardware_done,hsp_and_clc,illegal_don,job_stat_code,mrt,night_club,park,restaurant_statcode,ubike,center,center_lat,center_lon,dist,vil
552226718,717000.0,1225.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.97196447627833, 121.57556719359505)",24.97196447627833,121.57556719359505,文山區,老泉里
552326738,341000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(24.976486334943115, 121.5786568323529)",24.976486334943115,121.5786568323529,文山區,指南里
552326739,436000.0,1225.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.976486334943115, 121.5832037836341)",24.976486334943115,121.5832037836341,文山區,指南里
552326740,406000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(24.976486334943115, 121.5877507349153)",24.976486334943115,121.5877507349153,文山區,指南里
552326741,480000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"(24.976486334943115, 121.5922976861965)",24.976486334943115,121.5922976861965,文山區,指南里
552326742,368000.0,870.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(24.976486334943115, 121.5968446374777)",24.976486334943115,121.5968446374777,文山區,政大里
552426744,422000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(24.981008193607902, 121.5206136148843)",24.981008193607902,121.5206136148843,新店區,永平里
552426745,462000.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,"(24.981008193607902, 121.52515737579272)",24.981008193607902,121.52515737579272,新店區,中山里
552426746,425000.0,1225.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.981008193607902, 121.52970113670112)",24.981008193607902,121.52970113670112,新店區,中山里
552426748,338000.0,1225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,"(24.981008193607902, 121.53878865851793)",24.981008193607902,121.53878865851793,新店區,大同里
552426749,449500.0,1225.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,"(24.981008193607902, 121.54333241942633)",24.981008193607902,121.54333241942633,新店區,寶安里
552426750,512000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"(24.981008193607902, 121.54787618033474)",24.981008193607902,121.54787618033474,新店區,寶興里
552426752,519000.0,1225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"(24.981008193607902, 121.55696370215156)",24.981008193607902,121.55696370215156,文山區,樟文里
552426754,456000.0,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"(24.981008193607902, 121.56605122396837)",24.981008193607902,121.56605122396837,文山區,樟腳里
552426755,517000.0,1225.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,"(24.981008193607902, 121.57059498487678)",24.981008193607902,121.57059498487678,文山區,老泉里
552426756,399000.0,1225.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,"(24.981008193607902, 121.57513874578518)",24.981008193607902,121.57513874578518,文山區,指南里
552426757,496000.0,937.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,"(24.981008193607902, 121.57968250669359)",24.981008193607902,121.57968250669359,文山區,指南里
552426758,439500.0,1225.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,"(24.981008193607902, 121.58422626760199)",24.981008193607902,121.58422626760199,文山區,指南里
552426759,427500.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"(24.981008193607902, 121.58877002851041)",24.981008193607902,121.58877002851041,文山區,指南里
552426760,383000.0,1225.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,"(24.981008193607902, 121.59331378941881)",24.981008193607902,121.59331378941881,文山區,政大里
552426761,491500.0,1225.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,"(24.981008193607902, 121.59785755032722)",24.981008193607902,121.59785755032722,文山區,政大里
552426762,492000.0,1225.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,"(24.981008193607902, 121.60240131123562)",24.981008193607902,121.60240131123562,深坑區,阿柔里
552426763,488500.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,"(24.981008193607902, 121.60694507214403)",24.981008193607902,121.60694507214403,深坑區,阿柔里
552426764,454000.0,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.981008193607902, 121.61148883305243)",24.981008193607902,121.61148883305243,深坑區,阿柔里
552526761,502000.0,1225.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(24.985530052272686, 121.51508101507606)",24.985530052272686,121.51508101507606,新店區,新和里
552526763,412000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.985530052272686, 121.52416235065255)",24.985530052272686,121.52416235065255,中和區,秀景里
552526764,505000.0,777.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,"(24.985530052272686, 121.5287030184408)",24.985530052272686,121.5287030184408,新店區,復興里
552526765,429000.0,823.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,"(24.985530052272686, 121.53324368622904)",24.985530052272686,121.53324368622904,新店區,復興里
552526766,400000.0,1000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,"(24.985530052272686, 121.53778435401728)",24.985530052272686,121.53778435401728,新店區,復興里
552526767,462000.0,1225.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,"(24.985530052272686, 121.54232502180552)",24.985530052272686,121.54232502180552,新店區,信義里
552526768,621000.0,1225.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,"(24.985530052272686, 121.54686568959377)",24.985530052272686,121.54686568959377,文山區,試院里
552526769,371000.0,802.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"(24.985530052272686, 121.551406357382)",24.985530052272686,121.551406357382,新店區,寶福里
552526770,346000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"(24.985530052272686, 121.55594702517025)",24.985530052272686,121.55594702517025,文山區,樟林里
552526771,397500.0,1225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"(24.985530052272686, 121.5604876929585)",24.985530052272686,121.5604876929585,文山區,樟林里
552526772,405500.0,1000.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,"(24.985530052272686, 121.56502836074674)",24.985530052272686,121.56502836074674,文山區,忠順里
552526773,469000.0,1023.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,"(24.985530052272686, 121.56956902853499)",24.985530052272686,121.56956902853499,文山區,木新里
552526774,472000.0,1225.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,"(24.985530052272686, 121.57410969632323)",24.985530052272686,121.57410969632323,文山區,指南里
552526775,460000.0,1000.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,"(24.985530052272686, 121.57865036411147)",24.985530052272686,121.57865036411147,文山區,萬興里
552526776,437500.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,"(24.985530052272686, 121.58319103189972)",24.985530052272686,121.58319103189972,文山區,政大里
552526777,418000.0,1068.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,"(24.985530052272686, 121.58773169968796)",24.985530052272686,121.58773169968796,文山區,指南里
552526778,414000.0,1108.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,"(24.985530052272686, 121.5922723674762)",24.985530052272686,121.5922723674762,文山區,政大里
552526779,454500.0,916.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,"(24.985530052272686, 121.59681303526445)",24.985530052272686,121.59681303526445,文山區,政大里
552526780,420000.0,1225.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,"(24.985530052272686, 121.6013537030527)",24.985530052272686,121.6013537030527,深坑區,阿柔里
552526781,395500.0,1225.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,"(24.985530052272686, 121.60589437084093)",24.985530052272686,121.60589437084093,深坑區,阿柔里
