name,shopType,district,status,address,lat,lon,number,state_code
琴坊少女服飾店,cloth,萬華區,核准設立,中華路1段112之1號1樓,25.0403893,121.4525666,1100344,553726924
金能服飾行,cloth,萬華區,核准設立,西寧南路36號2樓之47,25.0452425,121.5064943,1100978,553826948
明華皮鞋店,cloth,大同區,核准設立,迪化街1段21號永樂公有市場1樓第1206攤位,25.0551656,121.510283,1133598,554026971
振揚服飾行,cloth,大同區,核准設立,華陰街106號、重慶北路1段29號2樓之4、2樓之5,25.0504843,121.5138533,1160948,553926962
達藝服裝材料行,cloth,大同區,核准設立,南京西路155巷22號,25.0545821,121.5133771,1162018,554026971
吉羊服務社,cloth,信義區,核准設立,松德路65號11樓之1,25.0384449,121.576699,1304924,553726947
三級跳童裝行,cloth,萬華區,核准設立,大理街42之13號1樓,25.0344027,121.4997495,1428241,553626920
三十六度流行坊飾品店,cloth,萬華區,核准設立,西寧南路70之31號,25.0435081,121.505886,1440890,553826944
山川牛仔服飾店,cloth,萬華區,核准設立,西寧南路70號2樓31室,25.0435081,121.505886,1448339,553826944
巧一服裝行,cloth,萬華區,核准設立,大理街42之6號,25.0344186,121.4999311,1449148,553626920
翊婷嬰童百貨行,cloth,文山區,核准設立,羅斯福路6段258號1樓,24.9917968,121.5401459,1700059,552626791
吉姆士西服號,cloth,中山區,核准設立,林森北路590號,25.0655182,121.5255936,4205477,554326995
啟豪服裝行,cloth,萬華區,核准設立,大理街27號1樓,25.0348035,121.5023535,4549825,553626921
雅美服裝行,cloth,萬華區,核准設立,大理街55號,25.0346656,121.5004572,4565090,553626920
九九鞋店,cloth,文山區,核准設立,景美街55號,24.9911859,121.541929,5500378,552626789
盈泰被服廠,cloth,大同區,核准設立,民族西路268號,25.0685297,121.5119173,7324118,554326997
福祥內衣行,cloth,大安區,核准設立,建國南路1段304巷3號1樓,25.03578,121.5371527,9401189,553626931
美達男女內衣行,cloth,信義區,核准設立,松山路541巷3號,25.037828,121.578405,9448516,553726946
艾翠娣服裝店,cloth,大安區,核准設立,東豐街21號1樓,25.0361581,121.5449757,9474942,553626934
艾達斯時尚精品服飾店,cloth,北投區,核准設立,知行路328號,25.122819600000003,121.4670223,9753326,555527042
小姐帕克服飾行,cloth,大安區,核准設立,泰順街44巷30號,25.0238109,121.529651,10057564,553326896
翔毅服飾精品店,cloth,信義區,核准設立,虎林街202巷68號1樓,25.037309,121.575448,10082796,553626944
貝拉服飾坊,cloth,大同區,核准設立,華陰街76號1樓,25.050347,121.514593,10302193,553926962
舜成服裝行,cloth,萬華區,核准設立,大理街177號1樓,25.0339418,121.4945313,10303411,553626917
姬發服裝工作室,cloth,大同區,核准設立,南京西路344巷15號1樓,25.0534414,121.5122492,10305086,554026968
為潔服飾精品店,cloth,士林區,核准設立,大東路13之6號,25.0875426,121.5251693,10305868,554827028
今天服裝行,cloth,萬華區,核准設立,漢中街59號1樓,25.0438,121.507418,10306091,553826945
今綺服飾行,cloth,萬華區,核准設立,峨眉街28號,25.0434132,121.5067811,10306108,553826944
小間搖滾服飾店,cloth,萬華區,核准設立,西寧南路72號之1，3樓,25.0433292,121.5059863,10308400,553826944
恰恰服飾,cloth,大安區,核准設立,基隆路2段206號,25.0238081,121.5516674,10308984,553326901
取締役時裝坊,cloth,士林區,核准設立,大南路98號,25.089588,121.524212,10310779,554827030
夢時代內衣店,cloth,中正區,核准設立,武昌街1段22巷23號,25.0433689,121.512327,10314043,553826945
東京紅衣鋪,cloth,松山區,核准設立,民生東路3段113巷25弄4之1號,25.0594248,121.5465397,10314851,554126988
田園服飾行,cloth,大同區,核准設立,重慶北路1段22號2樓之13,25.0505502,121.5134548,10316823,553926962
巧比童裝行,cloth,信義區,核准設立,永吉路473號,25.045612,121.579048,10321311,553826965
約瑟芬服飾行,cloth,信義區,核准設立,忠孝東路5段1之5號,25.041522,121.564994,10321348,553726952
佳倍絹服飾店,cloth,信義區,核准設立,永吉路491巷5弄42號,25.046113,121.579951,10323922,553826967
亞億成衣企業社,cloth,南港區,核准設立,昆陽街92號,25.0517728,121.5934153,10330199,554026982
尚鼎進口童裝坊,cloth,萬華區,核准設立,大理街26號,25.0345905,121.5017488,10332598,553626920
歐鎂飾品行,cloth,大同區,核准設立,重慶北路1段22之19號,25.0505502,121.5134548,10333034,553926962
莉莎精品服飾店,cloth,大安區,核准設立,忠孝東路4段146巷23號,25.0405346,121.5497665,10336166,553726946
蘿邑精品服飾行,cloth,大同區,核准設立,民生西路76號,25.0574846,121.5203773,10336412,554126978
寶舖飾品行,cloth,大同區,核准設立,太原路22巷2號,25.049868,121.5148212,10339380,553926961
成大童裝行,cloth,萬華區,核准設立,康定路287巷30號,25.0340012,121.5020398,10339467,553626919
吉莉庭服飾精品行,cloth,大安區,核准設立,忠孝東路4段49巷8號,25.0428429,121.545384,10340149,553826951
快樂媽媽童裝店,cloth,士林區,核准設立,延平北路5段278號2樓,25.0793109,121.5113728,10340318,554627014
一二三童裝行,cloth,士林區,核准設立,士東路46巷52號,25.1108699,121.5284229,10346946,555327050
方偉襪子專賣店,cloth,士林區,核准設立,大南路131號1樓,25.0897657,121.5232822,10347023,554827030
阿波服飾店,cloth,大安區,核准設立,敦化南路1段187巷53號,25.0426452,121.5520056,10351052,553826952
小敏服飾店,cloth,萬華區,核准設立,東園街120號,25.0239929,121.4972679,10351193,553426890
文櫻飾品店,cloth,大同區,核准設立,赤峰街71巷34號,25.0565486,121.520439,10359293,554126976
藝淇服飾坊,cloth,大安區,核准設立,通化街160號,25.0286394,121.5536932,10359857,553526916
彩龍舞蹈服裝工作室,cloth,中正區,核准設立,中華路1段77號9樓之3,25.0470284,121.5108323,10371655,553926953
小臻精品服飾店,cloth,中正區,核准設立,羅斯福路2段120號,25.0262981,121.5227216,10376906,553426902
舞陽服飾店,cloth,大安區,核准設立,金華街245之2號,25.0299229,121.530826,10377052,553526914
琪卡布蘭卡服飾精品店,cloth,大安區,核准設立,忠孝東路4段248巷6號,25.040687,121.5539976,10383126,553726948
婕尹服飾店,cloth,大安區,核准設立,師大路49巷6號,25.024222,121.52893799999998,10384217,553426898
大蝦服飾行,cloth,文山區,核准設立,木柵路2段117號,24.9890004,121.5619373,10385969,552626785
快樂維生服飾精品店,cloth,萬華區,核准設立,成都路67號5樓之1,25.0429491,121.5056906,10387283,553826943
亞姿服飾行,cloth,大安區,核准設立,敦化南路1段168號,25.043299,121.548436,10387501,553826953
曜麟飾品行,cloth,士林區,核准設立,文林路306號,25.09204410000001,121.5263065,10387880,554927034
麗高服裝行,cloth,萬華區,核准設立,大理街42巷1之1號(1樓),25.0342524,121.5003618,10392574,553626919
卡哇伊童裝店,cloth,中山區,核准設立,錦州街206號1樓,25.0602154,121.5311163,10394735,554226986
建嘉服裝行,cloth,信義區,核准設立,松山路119巷1弄4號,25.0477851,121.5785282,10395544,553926970
安裘服飾店,cloth,大安區,核准設立,忠孝東路4段97號4樓之2,25.0417524,121.5478903,10397331,553726949
金鈴服裝材料行,cloth,大同區,核准設立,延平北路2段35號5樓,25.0621612,121.5100305,10664723,554226985
康凱皮鞋店,cloth,中山區,核准設立,雙城街12巷6之1號1樓,25.066143,121.524704,12224770,554326996
東方友華服飾禮品店,cloth,中山區,核准設立,中山北路3段15之1號1樓,25.0643393,121.5225248,12291019,554226992
開泰鞋店,cloth,中山區,核准設立,長安東路2段18號,25.0483943,121.53062659999998,12433376,553926961
衣格爾服飾品行,cloth,萬華區,核准設立,寶興街230號,25.021987,121.49581200000002,13473240,553326884
克麗飾品店,cloth,大安區,核准設立,忠孝東路4段67號,25.0416949,121.5463511,13474901,553726948
阿達服飾精品店,cloth,大安區,核准設立,忠孝東路4段223巷41號地下,25.0427274,121.552999,13823491,553826952
協群服裝行,cloth,萬華區,核准設立,艋舺大道132號1樓,25.033010600000004,121.5018745,13844799,553626916
依裳精品服飾店,cloth,大同區,核准設立,延平北路2段108號,25.05675260000001,121.5114835,13845903,554126975
唯凱服飾行,cloth,中山區,核准設立,南京西路12巷11號,25.0517733,121.5215651,14316705,554026966
金萬美服飾店,cloth,士林區,核准設立,大東路32-1號,25.0891298,121.5252656,14326339,554827030
財發發服飾精品店,cloth,大安區,核准設立,麗水街1之1號,25.030666,121.528779,15641854,553526916
藍與天童裝行,cloth,萬華區,核准設立,康定路346號1樓、2樓,25.0350352,121.5010458,15659811,553626921
鳳緣服飾行,cloth,大安區,核准設立,安和路2段31號4樓,25.0318322,121.5526625,15663977,553526924
瓊妮服裝行,cloth,萬華區,核准設立,康定路368號,25.034245,121.50091100000002,15664201,553626919
耀瑋裝潢工程行,cloth,信義區,核准設立,基隆路1段380巷4號,25.0348247,121.559896,15667220,553626934
台北服裝行,cloth,萬華區,核准設立,大理街42之9號1樓,25.034409600000004,121.499811,15822481,553626920
旭華服裝行,cloth,萬華區,核准設立,西園路1段169號,25.034806,121.4994864,15829288,553626921
