name,shopType,district,status,address,lat,lon,number,state_code
順達汽車材料行,hardware,大同區,核准設立,南京西路64巷24弄5號,25.0512902,121.5181977,1130298,554026965
昆成工具行,hardware,大同區,核准設立,哈密街59巷38弄31號3樓,25.075094,121.5149113,1131515,554527009
欣工電能工程行,hardware,內湖區,核准設立,內湖路3段60巷6號,25.0865509,121.59206499999999,1217816,554727042
利榮五金行,hardware,北投區,核准設立,自強街5巷71號1樓,25.1112651,121.5118635,1383048,555327047
億勝工程行,hardware,信義區,核准設立,永吉路326巷23號1樓,25.044273,121.57556100000001,1604443,553826961
立德機械五金行,hardware,內湖區,核准設立,新明路125號(1樓),25.0594412,121.5898063,1638083,554126998
榮泰輪胎五金行,hardware,南港區,核准設立,研究院路1段153號1樓,25.050676199999998,121.6157798,1662885,553926985
明泉水電工程行,hardware,文山區,核准設立,指南路3段29號1樓,24.9847455,121.58038130000001,1711767,552526772
全慶五金電料行,hardware,大同區,核准設立,環河北路2段223巷14號,25.069962399999998,121.5100956,1961217,554426999
劉建成五金店,hardware,中正區,核准設立,市民大道3段8號4樓417、418室,25.0450357,121.53193119999999,3573500,553826953
金振發五金電器行,hardware,中正區,核准設立,紹興南街4之11號,25.0434253,121.5246874,4236844,553826948
建成工具行,hardware,大同區,核准設立,重慶北路1段100號1樓,25.0528531,121.51564609999998,4518512,554026967
勝隆水電行,hardware,內湖區,核准設立,金龍路53號1樓,25.0849681,121.593465,4775722,554727040
台源五金行,hardware,中正區,核准設立,環河南路1段河濱商場135號1樓,25.0474492,121.5046554,5149993,553926953
裕祥裝潢材料行,hardware,文山區,核准設立,羅斯福路6段149號1樓,24.9974993,121.54097479999999,5502565,552826812
川禾電氣五金行,hardware,中正區,核准設立,市民大道3段8號光華數位新天地商場4樓032、033、034、035號店鋪,25.0450021,121.5321956,5721978,553826953
萬佳五金行,hardware,大同區,核准設立,敦煌路66號1樓,25.07553080000001,121.5184753,7639172,554527010
宏昇工程行,hardware,內湖區,核准設立,安泰街125巷28號1樓,25.077269,121.6173215,8603736,554527035
造鴻工程行,hardware,內湖區,核准設立,內湖路1段205號,25.083503399999998,121.5635644,9606182,554727032
君誠水電行,hardware,大安區,核准設立,大安路2段130號,25.029988,121.54589109999999,10304930,553526918
華晉橡膠五金行,hardware,萬華區,核准設立,環河南路1段133號,25.042540300000002,121.50056380000001,10311593,553826940
旭鴻工程行,hardware,文山區,核准設立,興隆路1段171號,25.001386399999998,121.5428095,10312191,552926827
宇林五金行,hardware,內湖區,核准設立,民權東路6段86號,25.0687183,121.58580970000001,10331964,554327014
上好廣告工程行,hardware,大同區,核准設立,哈密街63巷16號,25.073862,121.51523459999999,10338967,554527007
詠順工程行,hardware,士林區,核准設立,延平北路6段30號,25.0875044,121.50915320000001,10345377,554827025
三儀電子材料行,hardware,中正區,核准設立,市民大道3段8號光華數位新天地商場4樓48號店鋪,25.0450021,121.5321956,10348233,553826953
巨揚水電行,hardware,信義區,核准設立,吳興街470號,25.023675,121.5691084,10387988,553326905
金鈴服裝材料行,hardware,大同區,核准設立,延平北路2段35號5樓,25.0621612,121.5100305,10664723,554226985
正昌五金行,hardware,大同區,核准設立,華陰街201號1樓,25.0504949,121.51464299999999,11187002,553926962
泰發水電行,hardware,中山區,核准設立,南京東路2段174號11樓,25.0517526,121.53494760000001,11571408,554026969
龍江五金建材行,hardware,中山區,核准設立,龍江路200之3號,25.0574522,121.5404507,12403020,554126983
家源水電冷氣行,hardware,大安區,核准設立,大安路1段51巷17號1樓,25.0432388,121.5469476,13445435,553826952
