typeofcase,date,time,location,area,address,lat,lon,state_code
自行車竊盜,1060101,10~12,六合里松仁路240巷1 ~ 30號,信義區,信義區六合里松仁路240巷1號,25.024732,121.5693188,553426908
自行車竊盜,1060103,16~18,圓山捷運站1 ~ 30號出口,中山區,中山區圓山捷運站1號,25.071353,121.520118,554427004
自行車竊盜,1060105,19~21,東湖國中(內湖區康樂街151巷內)旁人行,內湖區,`內湖區東湖國中(內湖區康樂街151巷內)旁人行,25.072164899999997,121.61942179999998,554427027
自行車竊盜,1060106,16~18,木柵里029鄰木柵路3段91 ~ 120號,文山區,文山區木柵里029鄰木柵路3段91號,24.988858,121.56778600000001,552626786
自行車竊盜,1060107,04~06,龍泉里和平東路1段181 ~ 210號,大安區,大安區龍泉里和平東路1段181號,25.0264466,121.5328981,553426905
自行車竊盜,1060107,22~24,天祥路60巷1 ~ 30號,中山區,中山區天祥路60巷1號,25.0622438,121.5205203,554226988
自行車竊盜,1060108,01~03,玉門街1 ~ 30號,中山區,中山區玉門街1號,25.0704569,121.52046100000001,554427002
自行車竊盜,1060108,10~12,福興里自強街61 ~ 90號,北投區,北投區福興里自強街61號,25.110473499999998,121.5139692,555327047
自行車竊盜,1060108,16~18,徐州路,中正區,中正區徐州路,25.0409967,121.52222179999998,553726941
自行車竊盜,1060110,19~21,住安里信義路4段1 ~ 30號捷運大安站4號出口,大安區,大安區住安里信義路4段1號,25.0335555,121.5442987,553626927
自行車竊盜,1060112,04~06,仁慈里復興南路1段279巷1 ~ 30號,大安區,大安區仁慈里復興南路1段279巷1號,25.0356521,121.5456028,553626933
自行車竊盜,1060116,04~06,錦泰里金華街102巷,大安區,大安區錦泰里金華街102巷,25.030047,121.52565190000001,553526913
自行車竊盜,1060116,07~09,德華里福國路61 ~ 90號,士林區,士林區德華里福國路61號,25.1017967,121.52352979999999,555127043
自行車竊盜,1060117,10~12,萬和里溪洲街萬隆街口,文山區,文山區萬和里溪洲街萬隆街口,25.004394,121.53540100000001,552926836
自行車竊盜,1060117,10~12,至聖里承德路3段241 ~ 270號,大同區,大同區至聖里承德路3段241號,25.071054,121.518774,554427003
自行車竊盜,1060117,10~12,萬年里汀州路4段105巷,文山區,文山區萬年里汀州路4段105巷,25.0064435,121.5374158,553026843
自行車竊盜,1060118,07~09,全安里安和路2段211 ~ 240號,大安區,大安區全安里安和路2段211號,25.0260715,121.55018590000002,553426908
自行車竊盜,1060118,07~09,芳和里基隆路2段291巷,大安區,大安區芳和里基隆路2段291巷,25.021739,121.55011200000001,553326895
自行車竊盜,1060119,16~18,華聲里光復南路72巷61 ~ 90號,大安區,大安區華聲里光復南路72巷61號,25.0439878,121.55506489999999,553826956
自行車竊盜,1060121,07~09,稻香里中央北路2段271 ~ 300號,北投區,北投區稻香里中央北路2段271號,25.138384,121.49070400000001,555927048
自行車竊盜,1060122,07~09,三犁里信義路5段象山捷運站1 ~ 30號出口,信義區,信義區三犁里信義路5段象山捷運站1號,25.032764999999998,121.57035400000001,553526931
自行車竊盜,1060123,07~09,大有里民樂街121 ~ 150號,大同區,大同區大有里民樂街121號,25.0576212,121.51064699999999,554126976
