state_code,unitPrice,cloth_done,convStore_done,edu_all_statecode,hardware_done,hsp_and_clc,illegal_don,mrt,night_club,park,ubike,restaurant,job
552226718,717000.0,,,2.0,,,,,,,,1.0,
552326738,341000.0,,,,,,,,,,,,
552326739,436000.0,,,1.0,,,,,,,,1.0,
552326740,406000.0,,,,,,,,,,,,
552326741,480000.0,,,,,,,,,,,,1.0
552326742,368000.0,,,,,,,,,,,,
552426744,422000.0,,,,,,,,,,,,
552426745,462000.0,,,,,,,,,,,6.0,
552426746,425000.0,,,1.0,,,,,,,,1.0,
552426748,338000.0,1.0,,,,,,,,,,6.0,
552426749,449500.0,,1.0,,,,,,,,,9.0,
552426750,512000.0,,,,,,,,,,,4.0,
552426752,519000.0,1.0,,,,,,,,,,3.0,
552426754,456000.0,,,,,,,,,,,4.0,
552426755,517000.0,,1.0,,,1.0,,,,,,10.0,
552426756,399000.0,2.0,1.0,,1.0,,,,,,,8.0,
552426757,496000.0,,,,,,1.0,,,,,21.0,
552426758,439500.0,,1.0,,,,1.0,,,,,9.0,
552426759,427500.0,,,,,,,,,,,4.0,
552426760,383000.0,,,,,,1.0,,,,,11.0,1.0
552426761,491500.0,1.0,,,1.0,,1.0,,,,,9.0,
552426762,492000.0,,2.0,,,,1.0,,,,,10.0,
552426763,488500.0,,,,,,,,,,,12.0,
552426764,454000.0,,,,,,,,,,,1.0,
552526761,502000.0,,,1.0,,,,,,,,,
552526763,412000.0,,,,,,,,,,,1.0,
552526764,505000.0,,1.0,1.0,,,1.0,,,,,11.0,
552526765,429000.0,1.0,,,,,1.0,,,,,16.0,
552526766,400000.0,,,,2.0,,,,,,,14.0,
552526767,462000.0,,1.0,,,,2.0,,,,,7.0,
552526768,621000.0,,1.0,,,,1.0,,,,,8.0,
552526769,371000.0,1.0,,,1.0,,,,,,,4.0,
552526770,346000.0,,,,,,,,,,,4.0,
552526771,397500.0,1.0,,,,,,,,,,3.0,
552526772,405500.0,1.0,,3.0,1.0,,2.0,,,,,4.0,
552526773,469000.0,,1.0,1.0,1.0,,,,,,,12.0,
552526774,472000.0,,1.0,,,,,,,,,6.0,
552526775,460000.0,,1.0,,2.0,,1.0,,,,,8.0,
552526776,437500.0,,,,,,,,,,,10.0,
552526777,418000.0,,2.0,1.0,,,1.0,,,1.0,,14.0,
552526778,414000.0,1.0,1.0,2.0,,,,,,,,7.0,
552526779,454500.0,,,1.0,,,2.0,,,,,7.0,
552526780,420000.0,,,2.0,,,,,,,,5.0,
552526781,395500.0,,1.0,,,,,,,,,14.0,
552526782,440000.0,,2.0,1.0,,,,,,,,29.0,
552526784,376000.0,,,,,,,,,,,2.0,
552626777,340000.0,,,,,,,,,,,1.0,
552626778,460000.0,,,,,,,,,,,7.0,
552626779,451000.0,,,,,,,,,,,3.0,
552626780,364000.0,,2.0,1.0,,,,,,,1.0,2.0,
552626781,378000.0,,,1.0,,,,,,,,6.0,
552626782,479000.0,,2.0,2.0,,,,,,,,17.0,
552626783,505000.0,2.0,1.0,,,,2.0,,,,,47.0,
552626784,442500.0,2.0,1.0,2.0,,,4.0,,,,,71.0,
552626785,428000.0,2.0,,1.0,,,,,,,,57.0,1.0
552626786,459500.0,2.0,2.0,,1.0,,3.0,,,,,20.0,
552626787,412500.0,2.0,2.0,1.0,,,2.0,,,,,27.0,
552626788,538000.0,1.0,,,1.0,,2.0,,,,,23.0,
552626789,581000.0,2.0,1.0,,,1.0,1.0,,,,,19.0,
552626790,401000.0,2.0,2.0,3.0,1.0,1.0,1.0,,1.0,,,22.0,
552626791,487000.0,1.0,,,,,1.0,,,,,22.0,
552626792,464000.0,,,2.0,,,1.0,,,,,6.0,
552626793,511000.0,,,,,,1.0,,,,,17.0,
552626794,546500.0,,,1.0,,,,,,,,3.0,
552626795,377000.0,,,,1.0,,1.0,,,,,2.0,
552626796,418000.0,,,2.0,,,,,,,,3.0,
552626797,462000.0,,,,,,,,,,,,
552626798,425000.0,,,,,,,,,,,1.0,
552626799,347000.0,,,,,,,,,,,,
552626800,488000.0,,,,,,,,,,,1.0,
552726793,447000.0,,,,,,,,,,,,
552726794,636000.0,1.0,,,,,,,,,,15.0,
552726795,410000.0,,1.0,,,,1.0,,,,,11.0,5.0
552726796,537000.0,1.0,1.0,1.0,,,,,,,,14.0,
552726797,422000.0,,1.0,,,,,,,,,10.0,
552726798,370000.0,,,,,,,,,,,3.0,
552726799,443000.0,1.0,,1.0,,,3.0,,,,,10.0,
552726800,441000.0,1.0,,,,,,,,,,8.0,
552726801,429000.0,,,,,,1.0,,,,,11.0,
552726802,548000.0,,,,,,6.0,,1.0,,,10.0,5.0
552726803,435000.0,,,,,,,,,,,12.0,
552726804,367500.0,,,,,,,,,,,14.0,1.0
552726805,418000.0,,1.0,,,,,,,,,7.0,1.0
552726806,434000.0,,,,,,1.0,,,,,8.0,
552726807,358000.0,,1.0,,,,2.0,,,,,7.0,
552726808,344000.0,,,1.0,,,,,,,,5.0,
552726809,372000.0,,,,1.0,,1.0,,,,,5.0,
552726810,376000.0,,,1.0,,,,,,,,4.0,
552726811,446500.0,,,,,,1.0,,,,,2.0,
552726812,604000.0,,,,,,,,,,,1.0,
552726813,377000.0,,,1.0,,,,,,,,1.0,
552726814,498000.0,,,,,,,,,,,1.0,
552826809,439000.0,,,,,,,,,,,1.0,
552826811,555000.0,,,,,,,,,,,1.0,
552826812,488000.0,,,,1.0,,1.0,,,,,5.0,
552826813,581500.0,,,,,,1.0,,,,,5.0,
552826814,492000.0,,1.0,,,,,,,,,2.0,
552826815,720500.0,,,,,,1.0,,,,,8.0,
552826816,412000.0,,,1.0,,,1.0,,,1.0,,3.0,
552826817,441000.0,,2.0,,,,,,,,,7.0,
552826818,507000.0,,,1.0,2.0,1.0,1.0,,,,,15.0,
552826819,549500.0,,,2.0,,,,,,,,16.0,
552826820,475500.0,,1.0,,1.0,,,,,,,14.0,
552826821,514000.0,,2.0,2.0,,1.0,,2.0,,,,23.0,
552826822,456500.0,2.0,1.0,,,,4.0,,,,1.0,38.0,
