district,address,boomTime,lat,lon
大同區,大龍街85巷,106-1-3,25.0664234,121.5165816
大同區,環河北路1段87號,106-1-4,25.053022,121.5075455
大同區,鄭州路與西寧北路口,106-1-9,25.0526962,121.5086343
大同區,南京西路302巷,106-1-14,25.0540151,121.5134828
大同區,承德路3段32號,106-1-14,25.0644605,121.5180627
大同區,延平北路1段與南京西路口,106-1-6,25.0538882,121.5117594
大同區,長安西路與塔城街口,106-1-13,25.050385,121.5097864
大同區,鄭州路與塔城街口,106-2-8,25.050385,121.5097864
大同區,重慶北路2段227號與重慶北路2段口,106-2-11,25.0616167,121.513763
大同區,酒泉街與重慶北路3段口,106-2-14,25.0721299,121.5140626
大同區,重慶北路2段與民權西路口,106-1-3,25.0621449,121.513387
大同區,承德路1段與鄭州路1段口,106-1-3,25.0491063,121.5158221
大同區,延平北路3段69號,106-1-4,25.066313,121.511121
大同區,環河北路2段18標高速公路下方,106-1-7,24.1752407,120.6304823
大同區,鄭州路131號北門捷運站2號出口,106-1-9,25.0490626,121.51022
大同區,延平北路2段272巷46號,106-1-17,25.0620406,121.5097989
大同區,承德路3段221號,106-1-18,25.0634144,121.5185008
大同區,重慶北路2段64巷,106-1-7,25.0557072,121.5129341
大同區,西寧北路與鄭州路口,106-1-9,25.0526962,121.5086343
大同區,市民大道1段京站停車場入口前,106-1-12,25.0490476,121.5181099
大同區,承德路3段206號,106-1-13,25.0702942,121.5181712
大同區,南京西路與太原路口,106-1-9,25.0535881,121.5160989
大同區,民生西路與承德路2段口,106-1-4,25.0550237,121.5180181
大同區,延平北路2段與保安街口,106-1-10,25.059831,121.511474
大同區,延平北路4段282巷,106-5-19,25.0770513,121.5107464
大同區,民權西路104號,106-3-6,25.0627169,121.5174323
大同區,承德路3段與民族西路口,106-4-5,25.0683381,121.5185818
大同區,通河西街1段明倫高中後方堤外便道,106-2-16,25.0762461,121.5193385
大同區,鄭州路與塔城街口,106-2-6,25.050385,121.5097864
大同區,鄭州路109號,106-2-10,25.0502684,121.5112996
大同區,承德路3段45號,106-2-13,25.0634144,121.5185008
大同區,民權西路184巷26號與民權西路184巷口,106-2-17,25.0625222,121.5146666
大同區,環河北路1段與鄭州路口,106-1-4,25.0609678,121.5083618
大同區,重慶北路2段與南京西路口,106-1-3,25.054104,121.5143135
大同區,南京西路155巷,106-1-9,25.0546275,121.5134188
大同區,延平北路3段56號與延平北路3段口,106-1-14,25.065079,121.510977
大同區,承德路3段與民權西路口,106-1-22,25.0629867,121.5182325
大同區,鄭州路145號,106-2-8,25.0509696,121.5093209
大同區,民權西路266號,106-9-4,25.0627805,121.5121485
大同區,延平北路2段與保安街口,106-9-11,25.059831,121.511474
大同區,延平北路2段272巷與安西街口,106-1-12,25.0620854,121.5111814
大同區,忠孝西路1段與環河北路1段口,106-4-20,25.0836033,121.506889
大同區,南京西路310號,106-4-12,25.0538625,121.5133169
大同區,迪化街2段與酒泉街口,106-4-23,25.0703643,121.5116522
大同區,環河北路1段與大稻埕堤外便道口堤外道路,106-4-23,25.0510056,121.5066606
大同區,民權西路與蘭州街口,106-2-14,25.062889,121.5147047
大同區,南京西路107巷口,106-2-20,25.0545663,121.5156722
大同區,延平北路3段與昌吉街口,106-2-21,25.0682622,121.5108998
大同區,鄭州路145號中興醫院急診室前,106-2-12,25.0511327,121.5094194
大同區,民族西路182巷,106-4-20,25.068045,121.5148583
大同區,民權西路108號,106-4-22,25.0626808,121.5170959
大同區,承德路2段與平陽街口口,106-2-27,25.0632571,121.5180676
大同區,錦西街88號,106-2-8,25.060173,121.5189561
大同區,民生西路321號,106-3-7,25.0570619,121.5120162
大同區,路與塔城街口(南京西路259號附近),106-2-2,25.053387,121.509793
大同區,承德路3段與民族西路口,106-2-1,25.0683381,121.5185818
大同區,赤峰街41巷,106-2-4,25.0548665,121.5200008
大同區,忠孝西路2段與塔城街口,106-2-10,25.0482544,121.5099669
大同區,西寧北路1巷與西寧北路口,106-2-11,25.0492189,121.5077956
大同區,民生西路與延平北路2段口,106-2-12,25.056957,121.5115836
大同區,民權西路與承德路3段口,106-2-12,25.0638424,121.5181676
大同區,機車道往三重,106-2-15,25.0614534,121.4867114
大同區,民族西路與大龍街口,106-3-7,25.063097,121.51654
大同區,承德路3段與錦西街口,106-3-21,25.0707623,121.518518
大同區,酒泉街138號,106-3-20,25.0720392,121.512413
大同區,錦西街與興城街口,106-1-21,25.0601497,121.5173285
大同區,民族西路與承德路3段口,106-1-22,25.0638424,121.5181676
大同區,五原路與太原路口,106-1-30,25.0566869,121.5169828
大同區,民族西路72號,106-2-2,25.0684133,121.5179406
大同區,延平北路2段60巷,106-3-25,25.0554237,121.5113184
大同區,歸綏街267號,106-4-2,25.058334,121.51
大同區,民權西路127號,106-5-2,25.0631125,121.5172667
大同區,重慶北路1段62號,106-2-18,25.0521814,121.5138599
大同區,鄭州路與西寧北路口,106-2-19,25.0526962,121.5086343
大同區,民權西路與台北橋口機車道往三重,106-2-20,25.0630612,121.515679
大同區,台北橋往台北方向,106-1-26,25.0637104,121.5065347
大同區,承德路2段與南京西路口,106-1-26,25.053328,121.5176323
大同區,西寧北路與長安西路口,106-2-2,25.0526962,121.5086343
大同區,環河北路1段與南京西路口堤外便道,106-5-9,25.0836033,121.506889
大同區,民權西路與蘭州街口,106-5-14,25.062889,121.5147047
大同區,鄭州路與延平北路1段口,106-5-16,25.0500003,121.5119876
大同區,西寧北路與長安西路口,106-2-11,25.0526962,121.5086343
大同區,市民大道1段與承德路1段口,106-2-15,25.0488533,121.5187085
大同區,承德路2段與民生西路口,106-2-22,0.0,0.0
大同區,重慶北路3段152巷,106-3-2,25.068131,121.5127989
大同區,環河北路2段7號旁,106-3-3,25.0637408,121.5090346
大同區,承德路1段75號,106-3-13,25.0520803,121.517762
大同區,民生西路292號,106-3-14,25.056724,121.5126045
大同區,延平北路2段與民權西路口,106-3-20,25.0627882,121.5112205
大同區,鄭州路與環河北路1段口,106-2-5,25.0507942,121.5067592
大同區,重慶北路2段與民生西路口,106-2-6,25.0570027,121.5138475
大同區,延平北路2段79號,106-2-7,25.0560451,121.5117644
大同區,承德路2段與民權西路口,106-2-8,25.0629867,121.5182325
大同區,忠孝西路2段與塔城街口,106-2-6,25.0482544,121.5099669
大同區,延平北路3段61巷口,106-2-14,25.1058802,121.4779234
大同區,民樂街95號,106-2-14,25.0436452,121.4578178
大同區,環河北路1段與鄭州路口,106-1-27,25.0609678,121.5083618
大同區,歸綏街194巷,106-2-3,25.0579283,121.5119592
大同區,民權西路194號,106-2-5,25.0627713,121.5144137
大同區,鄭州路與鄭州路29巷口,106-2-11,25.049597,121.514177
大同區,延平北路2段276號,106-2-22,25.0622533,121.5111885
大同區,重慶北路3段236巷,106-2-9,25.0705484,121.5127784
大同區,鄭州路與西寧北路口,106-2-16,25.0526962,121.5086343
大同區,承德路3段與庫倫街口,106-2-21,25.0699378,121.5182537
大同區,延平北路4段179巷與迪化街2段口,106-2-19,25.0736639,121.511536
大同區,承德路2段209號,106-3-14,25.0632571,121.5180676
大同區,安西街與延平北路2段272巷口口,106-3-14,25.0621,121.511175
大同區,長安西路與塔城街口,106-2-15,25.050385,121.5097864
大同區,長安西路與西寧北路口,106-3-1,25.0526962,121.5086343
大同區,民權西路台北橋機車道,106-2-11,25.0637104,121.5065347
大同區,忠孝西路2段與塔城街口,106-2-15,25.0482544,121.5099669
大同區,鄭州路3號,106-2-17,25.0490459,121.5161123
大同區,長安西路218號與長安西路口,106-4-6,25.051314,121.5147961
大同區,塔城街北門站2號出口,106-2-20,25.049349,121.5102908
大同區,延平北路2段255-1號,106-2-27,25.062618,121.51144
大同區,民權西路123號,106-4-13,25.063105,121.5173794
大同區,錦西街46號,106-4-13,25.0602383,121.5202
大同區,延平北路4段93-3號,106-4-13,25.0710036,121.5109657
大同區,歸綏街與萬全街103巷口口,106-4-20,25.0578489,121.520473
大同區,環河北路1段與民生西路口,106-2-20,25.0836033,121.506889
大同區,民權西路與大龍街口口,106-2-22,25.0629722,121.5166608
大同區,西寧北路32號,106-3-1,25.0512227,121.5082177
大同區,酒泉街136號,106-3-2,25.0719379,121.5124624
大同區,重慶北路1段與長安西路口,106-2-13,25.0516221,121.5138878
大同區,鄭州路與塔城街口,106-2-15,25.050385,121.5097864
大同區,民權西路254號,106-2-25,25.0627249,121.5124189
大同區,承德路3段277號,106-2-27,25.072865,121.519356
大同區,台北橋機車道東往西23號燈桿,106-3-3,25.0329694,121.5654177
大同區,鄭州路與西寧北路口,106-3-4,25.0526962,121.5086343
大同區,民權西路185巷與民權西路口,106-3-17,25.0630612,121.515679
大同區,鄭州路與承德路1段口,106-3-22,25.0447672,121.537358
大同區,民生西路229號,106-3-30,25.0572526,121.5158456
大同區,承德路3段48號,106-2-9,25.0649114,121.5180786
大同區,民權西路與蘭州街口,106-3-14,25.062889,121.5147047
大同區,承德路3段與民權西路口,106-2-11,25.0629867,121.5182325
大同區,延平北路4段16號,106-1-25,25.0691508,121.5108051
大同區,鄭州路與西寧北路口,106-2-13,25.0526962,121.5086343
大同區,鄭州路145號,106-2-17,25.0509696,121.5093209
大同區,長安西路80號,106-4-5,25.0503298,121.5191472
大同區,延平北路1段與長安西路口,106-2-27,25.0520555,121.5118816
大同區,環河北路2段145巷,106-3-3,25.0672062,121.5091833
大同區,承德路2段與南京西路口,106-3-8,25.053328,121.5176323
大同區,鄭州路與塔城街口,106-3-17,25.050385,121.5097864
大同區,長安西路70號建成國中地下停車場出入口,106-3-22,25.051577,121.5198813
大同區,民樂街61-1號,106-4-6,25.0551872,121.5109856
大同區,鄭州路21巷,106-4-6,25.0495731,121.5145662
大同區,民族西路與承德路3段口,106-4-11,25.0638424,121.5181676
大同區,重慶北路1段與民生西路口,106-4-17,25.049577,121.513627
大同區,延平北路4段與酒泉街口,106-3-18,25.0719201,121.5109426
大同區,延平北路3段與民權西路口,106-3-19,25.0631105,121.5112207
大同區,延平北路2段與民權西路口口,106-3-24,25.106142,121.477924
大同區,承德路3段與酒泉街口,106-3-25,25.0699378,121.5182537
大同區,承德路2段77號,106-3-30,25.0559757,121.5184171
大同區,環河北路2段與民權西路口,106-3-31,25.0836033,121.506889
大同區,延平北路2段與涼州街口,106-4-11,25.060562,121.511509
大同區,延平北路3段26號,106-6-6,25.064199,121.511045
大同區,重慶北路3段242號,106-6-14,25.0800199,121.513215
大同區,重慶北路1段30號,106-7-4,25.0509286,121.5135668
大同區,敦煌路與環河北路2段口污水處理廠前,106-7-11,25.0724189,121.5100679
大同區,長安西路172巷,106-7-12,25.0506286,121.5159828
大同區,延平北路2段與保安街口,106-8-28,25.059831,121.511474
大同區,重慶北路3段與重慶北路3段口往南機車引道,106-4-10,25.0753507,121.5135533
大同區,重慶北路2段64巷,106-3-1,25.0557072,121.5129341
大同區,延平北路2段與民權西路口,106-3-3,25.0627882,121.5112205
大同區,承德路3段與庫倫街口,106-3-12,25.0699378,121.5182537
大同區,重慶北路2段與民生西路口,106-3-15,25.0570027,121.5138475
大同區,西寧北路1巷,106-3-22,25.052127,121.508659
大同區,民生西路與迪化街1段口,106-7-12,25.056834,121.509752
大同區,延平北路2段61巷與延平北路2段口,106-8-31,25.055598,121.5120871
大同區,寧夏路與歸綏街口,106-3-8,25.0582238,121.5105935
大同區,承德路3段與民權西路口,106-3-14,25.0629867,121.5182325
大同區,台北橋與台北橋口機車道往台北,106-3-14,25.0637104,121.5065347
